MatchID,GameID,Team Name,TeamID,Result,Pistols Won,Potential Thrifties,Thrifties Won
645502,258659,LEV,2359,won,2,0,0
645502,258659,LOUD,6961,lost,0,2,0
645502,258660,LOUD,6961,won,2,3,1
645502,258660,LEV,2359,lost,0,3,1
645502,258661,LOUD,6961,won,1,3,1
645502,258661,LEV,2359,lost,1,3,0
645503,258662,NRG,1034,won,0,2,1
645503,258662,SEN,2,lost,2,2,0
645503,258663,SEN,2,won,1,2,0
645503,258663,NRG,1034,lost,1,2,0
645503,258664,NRG,1034,won,1,2,0
645503,258664,SEN,2,lost,1,3,0
660369,265422,FUR,2359,won,1,1,0
660369,265422,LEV,2406,lost,1,3,0
660369,265423,LEV,2406,won,1,1,0
660369,265423,FUR,2359,lost,1,1,0
660369,265424,LEV,2406,won,2,0,0
660369,265424,FUR,2359,lost,0,0,0
660370,265425,G2,120,won,1,1,0
660370,265425,100T,11058,lost,1,4,0
660370,265426,G2,120,won,1,1,0
660370,265426,100T,11058,lost,1,3,0
660371,265428,LEV,2359,won,1,2,0
660371,265428,MIBR,7386,lost,1,2,0
660371,265429,MIBR,7386,won,2,0,0
660371,265429,LEV,2359,lost,0,3,0
660371,265430,LEV,2359,won,1,1,0
660371,265430,MIBR,7386,lost,1,1,0
660372,265431,G2,11058,won,2,2,0
660372,265431,KRÜ,2355,lost,0,3,1
660372,265432,G2,11058,won,1,1,0
660372,265432,KRÜ,2355,lost,1,2,0
660375,265442,NRG,1034,won,2,0,0
660375,265442,FUR,2406,lost,0,3,0
660375,265443,NRG,1034,won,2,1,0
660375,265443,FUR,2406,lost,0,2,0
660376,265445,100T,120,won,1,2,1
660376,265445,LOUD,6961,lost,1,3,0
660376,265446,100T,120,won,1,1,0
660376,265446,LOUD,6961,lost,1,2,0
660377,265448,NRG,1034,won,0,2,0
660377,265448,KRÜ,2355,lost,2,1,0
660377,265449,NRG,1034,won,1,2,1
660377,265449,KRÜ,2355,lost,1,1,0
660378,265451,100T,120,won,2,3,1
660378,265451,MIBR,7386,lost,0,3,0
660378,265452,100T,120,won,2,3,2
660378,265452,MIBR,7386,lost,0,2,0
660373,265434,LEV,2359,won,1,1,0
660373,265434,G2,11058,lost,1,5,0
660373,265435,G2,11058,won,1,2,0
660373,265435,LEV,2359,lost,1,2,0
660373,265436,LEV,2359,won,2,0,0
660373,265436,G2,11058,lost,0,1,0
